ID,Title,Channel_title,Country,Views,Duration(h),VivoY20s_Usage(mAh),Pocox3pro_Usage(mAh),Avg_Usage(mAh),Energy(J),Total_Energy(kJ)
1,Drama Spontan 31: Avengers versi Kelantan,Syahmi Sazli,MY,2463512,0.210833333,55,72,63.5,228.6,563159
2,"RUMAH AM KENA MASUK PER0MP4K !! - PRANK MARSYA , AIRA DAN TEAH  T4KUT !!",Ammar Nazhan,MY,2066020,0.158055556,48,66,57,205.2,423947
3,Luísa Sonza - Boa Menina,LuisaSonzaVEVO,BR,1585731,0.040833333,10,,10,36,57086
4,MASTERCHEF PROFISSIONAIS (30/10/2018) | PARTE 2 | EP 11 | TEMP 03,MasterChef Brasil,BR,764890,0.301944444,98,,98,352.8,269853
5,Jerry Smith - Vou Falar Pra Tu (Clipe Oficial),Jerry Smith,BR,426563,0.045277778,10,,10,36,15356
6,Dilsinho - Péssimo Negócio (Ao Vivo),DilsinhoVEVO,BR,92848,0.054444444,15,,15,54,5014
7,Mônica Toy | Esqueletoys (T06E32) 🎃 Especial Dia das Bruxas 2018,Turma da Mônica,BR,69653,0.010555556,3,,3,10.8,752
8,Priscilla Alcantara - Gente,PrisAlcantaraVEVO,BR,312876,0.016944444,5,,5,18,5632
9,Segurança confessa ter matado Rayane após oferecer carona,Balanço Geral,BR,75277,0.093611111,29,,29,104.4,7859
10,Pastor Silas Malafaia - Bolsonaro ao vivo na igreja que sou pastor,Silas Malafaia Oficial,BR,494522,0.247777778,77,,77,277.2,137081
11,FILA DE PIADAS - TRAIÇÃO - #108,4 AMIGOS STAND UP COMEDY,BR,287444,0.249722222,78,,78,280.8,80714
12,6 DIY DE SLIMES GIGANTES E PELOTAS ANTIESTRES,Troom Troom PT,BR,121408,0.174444444,52,,52,187.2,22728
13,Boulos chama BOLSONARO DE BANDIDO e passa VERGONHA pânico,Marcos Dicionário,BR,1307564,0.106111111,35,,35,126,164753
14,Novo governo é contra as minorias? Kim responde.,Kim Kataguiri,BR,206338,0.080555556,24,,24,86.4,17828
